class,wavelength,r_rs_b_mean,r_rs_b_sd
alaria,540.2,0.005970143567857326,0.0026639976367701934
alaria,541.8,0.006161890812026833,0.002748350384051338
alaria,543.3,0.0063718365893606875,0.0028282181299468085
alaria,544.9,0.006600432533748866,0.0029111064304875407
alaria,546.5,0.006848304934042157,0.0030059817130286353
alaria,548,0.007118517716183756,0.0030943071113288603
alaria,549.6,0.007433592263318611,0.0032017773031531005
alaria,551.2,0.007767046317936656,0.003313545248788413
alaria,552.7,0.00815127298449974,0.0034470807783970932
alaria,554.3,0.008552959655192083,0.0035792884660667216
alaria,555.8,0.008968145152958717,0.0037043362296717334
alaria,557.4,0.00942678535834806,0.0038541383087767715
alaria,558.9,0.009902932234485736,0.00400117221895153
alaria,560.5,0.010413647234489358,0.004162304149856987
alaria,562,0.010939773196258938,0.004329628711808446
alaria,563.6,0.011451612746236978,0.0044627383358668915
alaria,565.1,0.011951966258483266,0.004609944705665633
alaria,566.7,0.012416440128027197,0.004727314938028483
alaria,568.2,0.012830865418289292,0.004828411689037477
alaria,569.8,0.013194580505258877,0.004897297142687095
alaria,571.3,0.01352660662668762,0.004980060667134385
alaria,572.9,0.013788713707976885,0.0050161008132397315
alaria,574.4,0.013990103540578114,0.005017935690345041
alaria,576,0.014142526874117918,0.00500748555483141
alaria,577.5,0.014239780816262242,0.004995512651334136
alaria,579.1,0.014301796220816407,0.004986793029992032
alaria,580.6,0.014310295361227349,0.004958322830821268
alaria,582.2,0.014294477734647908,0.004953572162106314
alaria,583.7,0.0142486512543786,0.004925380413021128
alaria,585.2,0.014189085441370234,0.004880240048703201
alaria,586.8,0.014160134181927155,0.004840896656095065
alaria,588.3,0.014152486195262468,0.00478694457388574
alaria,589.9,0.014208690369656872,0.004760679819581176
alaria,591.4,0.014367434015216058,0.004799091243024325
alaria,593,0.014574060813427147,0.004828641033492228
alaria,594.5,0.0148195951389383,0.004869037058881539
alaria,596,0.015091479576474462,0.004888994161423555
alaria,597.6,0.015352830714717308,0.0049320700886049534
alaria,599.1,0.015558380894843925,0.0049273999208054
alaria,600.7,0.015698136492428114,0.0049263058096507654
alaria,602.2,0.015708964233066953,0.004894772151755452
alaria,603.7,0.015594163435016878,0.004902262363482156
alaria,605.3,0.015341070075076298,0.004841646049631638
alaria,606.8,0.014955421724382812,0.004781266867135035
alaria,608.3,0.014477473029976737,0.004693461254432878
alaria,609.9,0.013925048402154968,0.004540695255227464
alaria,611.4,0.013339729881771645,0.0043901230238131495
alaria,612.9,0.012802413022910086,0.004247468064525023
alaria,614.5,0.012292372446091207,0.004147624626211842
alaria,616,0.011836817137376747,0.004041170535753873
alaria,617.5,0.011431856852018488,0.003942381141118474
alaria,619,0.0110861006924139,0.0038616751576852505
alaria,620.6,0.010802613919569926,0.0037696287120921592
alaria,622.1,0.010588472010387354,0.003693580336598071
alaria,623.6,0.010434213854646433,0.003596225508609835
alaria,625.2,0.01029522742313845,0.003581200119288683
alaria,626.7,0.01020285300324541,0.003525875853511408
alaria,628.2,0.010098422657126103,0.0035533169423458705
alaria,629.7,0.009990416744644437,0.0035348034788114458
alaria,631.3,0.009799226872081368,0.0034403242775010896
alaria,632.8,0.009632152000204695,0.0033833960627815594
alaria,634.3,0.009467012349780686,0.0033315933653054798
alaria,635.8,0.009423459205282647,0.0033377366645113904
alaria,637.3,0.009442022260320265,0.0033551699522095845
alaria,638.9,0.00958992833438764,0.0034146541159485056
alaria,640.4,0.009807050942211423,0.003465888834355882
alaria,641.9,0.010061253963009048,0.003511758663382606
alaria,643.4,0.010393779023603474,0.003561337871643663
alaria,644.9,0.01064779926059606,0.003602051333215042
alaria,646.5,0.010800396841443011,0.003621065316838052
alaria,648,0.010917084100211619,0.0036007391569010134
alaria,649.5,0.010880764060527556,0.00359576154683407
alaria,651,0.010636394256367462,0.003544869803742062
